t,z_s
3.330078125000000000e-01,3.661020659085916125e-03
3.339843750000000000e-01,3.568440623218774744e-03
3.349609375000000000e-01,3.472586345454535366e-03
3.359375000000000000e-01,3.373551779684776618e-03
3.369140625000000000e-01,3.271433781529131148e-03
3.378906250000000000e-01,3.166332017368194991e-03
3.388671875000000000e-01,3.058348870762333561e-03
3.398437500000000000e-01,2.947589346343885020e-03
3.408203125000000000e-01,2.834160971272629663e-03
3.417968750000000000e-01,2.718173694346689897e-03
3.427734375000000000e-01,2.599739782863222382e-03
3.437500000000000000e-01,2.478973717325381153e-03
3.447265625000000000e-01,2.355992084094054098e-03
3.457031250000000000e-01,2.230913466084807201e-03
3.466796875000000000e-01,2.103858331612303706e-03
3.476562500000000000e-01,1.974948921486210929e-03
3.486328125000000000e-01,1.844309134464253239e-03
3.496093750000000000e-01,1.712064411169603693e-03
3.505859375000000000e-01,1.578341616581262425e-03
3.515625000000000000e-01,1.443268921207404784e-03
3.525390625000000000e-01,1.306975681052921674e-03
3.535156250000000000e-01,1.169592316493509900e-03
3.544921875000000000e-01,1.031250190169697963e-03
3.554687500000000000e-01,8.920814840151161532e-04
3.564453125000000000e-01,7.522190755341324857e-04
3.574218750000000000e-01,6.117964134446846926e-04
3.583984375000000000e-01,4.709473928027354227e-04
3.593750000000000000e-01,3.298062297252675424e-04
3.603515625000000000e-01,1.885073358291141678e-04
3.613281250000000000e-01,4.718519250318726262e-05
3.623046875000000000e-01,-9.402577486817238826e-05
3.632812500000000000e-01,-2.349913226129541060e-04
3.642578125000000000e-01,-3.755775142926373253e-04
3.652343750000000000e-01,-5.156508459192190967e-04
3.662109375000000000e-01,-6.550783707508580928e-04
3.671875000000000000e-01,-7.937278235492785080e-04
3.681640625000000000e-01,-9.314677441825811770e-04
3.691406250000000000e-01,-1.068167600457720946e-03
3.701171875000000000e-01,-1.203697910067631598e-03
3.710937500000000000e-01,-1.337930361538809069e-03
3.720703125000000000e-01,-1.470737934066100247e-03
3.730468750000000000e-01,-1.601995016122487831e-03
3.740234375000000000e-01,-1.731577522732810582e-03
3.750000000000000000e-01,-1.859363011301610634e-03
3.759765625000000000e-01,-1.985230795886655780e-03
3.769531250000000000e-01,-2.109062059811142673e-03
3.779296875000000000e-01,-2.230739966509143798e-03
3.789062500000000000e-01,-2.350149768500523362e-03
3.798828125000000000e-01,-2.467178914393292413e-03
3.808593750000000000e-01,-2.581717153813236753e-03
3.818359375000000000e-01,-2.693656640162584402e-03
3.828125000000000000e-01,-2.802892031111525219e-03
3.837890625000000000e-01,-2.909320586728514693e-03
3.847656250000000000e-01,-3.012842265157520891e-03
3.857421875000000000e-01,-3.113359815752660738e-03
3.867187500000000000e-01,-3.210778869583072286e-03
3.876953125000000000e-01,-3.305008027223328097e-03
3.886718750000000000e-01,-3.395958943747248455e-03
3.896484375000000000e-01,-3.483546410845591180e-03
3.906250000000000000e-01,-3.567688435990804072e-03
3.916015625000000000e-01,-3.648306318574787242e-03
3.925781250000000000e-01,-3.725324722948460121e-03
3.935546875000000000e-01,-3.798671748294837544e-03
3.945312500000000000e-01,-3.868278995270283023e-03
